episode,total_reward,avg_reward_10,best_reward
513,-1.4,-0.87,0.25
514,-1.4,-0.87,0.25
515,1.1,-0.62,0.25
516,-1.4,-0.62,0.25
517,-1.4,-0.75,0.25
518,0,-0.53,0.25
519,-1.1,-0.56,0.25
520,-2.6,-0.81,0.25
521,-1.4,-1.08,0.25
522,-2.6,-1.22,0.25
523,1.3,-0.95,0.25
524,0.7,-0.74,0.25
525,-1.2,-0.97,0.25
526,-3.6,-1.19,0.25
527,-1.4,-1.19,0.25
528,-1.8,-1.37,0.25
529,-1.4,-1.4,0.25
530,-1.4,-1.28,0.25
531,-0.4,-1.18,0.25
532,-1.8,-1.1,0.25
533,1.4,-1.09,0.25
534,-1.4,-1.3,0.25
535,-1.4,-1.32,0.25
536,-2.5,-1.21,0.25
537,0.5,-1.02,0.25
538,0.7,-0.77,0.25
539,0.8,-0.55,0.25
540,1.2,-0.29,0.25
541,1.3,-0.12,0.25
542,-5.9,-0.53,0.25
543,-2.6,-0.93,0.25
544,-1.2,-0.91,0.25
545,-2,-0.97,0.25
546,-3.3,-1.05,0.25
547,-0.9,-1.19,0.25
548,-1.2,-1.38,0.25
549,-4,-1.86,0.25
550,0.5,-1.93,0.25
551,1.3,-1.93,0.25
552,-1.5,-1.49,0.25
553,-2.5,-1.48,0.25
554,-1,-1.46,0.25
555,-1.4,-1.4,0.25
556,0.9,-0.98,0.25
557,2.4,-0.65,0.25
558,-1.5,-0.68,0.25
559,-1.3,-0.41,0.25
560,-0.5,-0.51,0.25
561,-1.1,-0.75,0.25
562,-1.3,-0.73,0.25
563,-3.2,-0.8,0.25
564,-1.4,-0.84,0.25
565,1.2,-0.58,0.25
566,-2.4,-0.91,0.25
567,1.3,-1.02,0.25
568,-1.3,-1,0.25
569,-1.4,-1.01,0.25
570,-4.6,-1.42,0.25
571,-7.3,-2.04,0.25
572,-3.2,-2.23,0.25
573,-7.1,-2.62,0.25
574,-1.3,-2.61,0.25
575,-1.4,-2.87,0.25
576,-2.8,-2.91,0.25
577,1.2,-2.92,0.25
578,-1.3,-2.92,0.25
579,0.4,-2.74,0.25
580,-1.4,-2.42,0.25
581,1.1,-1.58,0.25
582,-0.8,-1.34,0.25
583,1.8,-0.45,0.25
584,-1.3,-0.45,0.25
585,-1.2,-0.43,0.25
586,-1.2,-0.27,0.25
587,-1.1,-0.5,0.25
588,-4,-0.77,0.25
589,-1.4,-0.95,0.25
590,-0.9,-0.9,0.25
591,-1.4,-1.15,0.25
592,0.5,-1.02,0.25
593,1.4,-1.06,0.25
594,-2.6,-1.19,0.25
595,-6,-1.67,0.25
